name,explicit,popularity,track_number,album.album_type,album.name,album.release_date,album.total_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type.y,duration_ms.y,time_signature
Butter,FALSE,91,1,single,"Butter (Hotter, Sweeter, Cooler)",2021-06-04,5,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,audio_features,164442,4
Dynamite,FALSE,90,8,album,BE,2020-11-20,8,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,audio_features,199054,4
Feel Good Inc.,FALSE,86,6,album,Demon Days,2005-05-23,15,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,audio_features,222640,4
We Don't Talk About Bruno,FALSE,96,4,album,Encanto (Original Motion Picture Soundtrack),2021-11-19,44,0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,audio_features,216120,4
Cats on Mars,FALSE,56,4,compilation,COWBOY BEBOP Vitaminless,1998-06-03,8,0.838,0.469,0,-11.001,1,0.0447,0.141,0.056,0.0932,0.969,134.93,audio_features,165707,4
Deja Vu,FALSE,75,3,single,ZERO : FEVER Part.3,2021-09-13,6,0.692,0.835,6,-4.978,0,0.0628,0.0517,0,0.134,0.566,80.017,audio_features,196670,4
Plantasia,FALSE,55,1,album,Mother Earth's Plantasia,2019-03-22,10,0.185,0.243,8,-12.646,1,0.0406,0.472,0.00772,0.0966,0.139,85.342,audio_features,201178,4
What Else Can I Do?,FALSE,89,5,album,Encanto (Original Motion Picture Soundtrack),2021-11-19,44,0.718,0.709,4,-5.568,1,0.039,0.258,0,0.101,0.54,119.974,audio_features,179427,4
Locked out of Heaven,FALSE,89,2,album,Unorthodox Jukebox,2012-12-07,10,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,audio_features,233478,4
KEEP IT UP,FALSE,79,1,single,KEEP IT UP,2022-01-26,1,0.708,0.477,8,-7.297,1,0.0565,0.292,1.75e-6,0.255,0.733,149.929,audio_features,183000,4
